geolocation_zip_code_prefix,geolocation_city,geolocation_state
1035,sao paulo,SP
1009,sao paulo,SP
1033,sao paulo,SP
1040,sao paulo,SP
1026,são paulo,SP
1031,sao paulo,SP
1001,sao paulo,SP
1026,sao paulo,SP
1009,são paulo,SP
1031,são paulo,SP
1035,são paulo,SP
1040,são paulo,SP
1033,são paulo,SP
1001,são paulo,SP
1155,sao paulo,SP
1155,são paulo,SP
1134,são paulo,SP
1134,sao paulo,SP
1214,sao paulo,SP
1257,sao paulo,SP
1258,sao paulo,SP
1258,são paulo,SP
1229,sao paulo,SP
1218,são paulo,SP
1239,sao paulo,SP
1201,sao paulo,SP
1229,são paulo,SP
1218,sao paulo,SP
1212,são paulo,SP
1239,são paulo,SP
1214,são paulo,SP
1212,sao paulo,SP
1255,sao paulo,SP
1257,são paulo,SP
1201,são paulo,SP
1255,são paulo,SP
1303,sao paulo,SP
1321,sao paulo,SP
1307,sao paulo,SP
1319,são paulo,SP
1316,sao paulo,SP
1307,são paulo,SP
1319,sao paulo,SP
1320,sao paulo,SP
1321,são paulo,SP
1316,são paulo,SP
1320,são paulo,SP
1303,são paulo,SP
1307,sao bernardo do campo,SP
1403,são paulo,SP
1403,sao paulo,SP
1451,sao paulo,SP
1433,são paulo,SP
1433,sao paulo,SP
1434,sao paulo,SP
1451,são paulo,SP
1412,são paulo,SP
1412,sao paulo,SP
1434,são paulo,SP
1526,sao paulo,SP
1526,são paulo,SP
1511,sao paulo,SP
1532,sao paulo,SP
1543,sao paulo,SP
1546,são paulo,SP
1550,sao paulo,SP
1545,sao paulo,SP
1508,sao paulo,SP
1546,sao paulo,SP
1547,sao paulo,SP
1532,são paulo,SP
1543,são paulo,SP
1508,são paulo,SP
1511,são paulo,SP
1545,são paulo,SP
1550,são paulo,SP
2019,sao paulo,SP
2012,sao paulo,SP
2034,sao paulo,SP
2022,são paulo,SP
2066,sao paulo,SP
2030,sao paulo,SP
2022,sao paulo,SP
2016,sao paulo,SP
2066,são paulo,SP
2034,são paulo,SP
2016,são paulo,SP
2019,são paulo,SP
2012,são paulo,SP
2030,são paulo,SP
2178,são paulo,SP
2112,são paulo,SP
2178,sao paulo,SP
2111,sao paulo,SP
2111,são paulo,SP
2112,sao paulo,SP
2274,sao paulo,SP
2242,sao paulo,SP
2258,sao paulo,SP
2242,são paulo,SP
2266,são paulo,SP
2274,são paulo,SP
2266,sao paulo,SP
2258,são paulo,SP
2252,sao paulo,SP
2252,são paulo,SP
2377,sao paulo,SP
2350,sao paulo,SP
2378,são paulo,SP
2310,sao paulo,SP
2378,sao paulo,SP
2350,são paulo,SP
2310,são paulo,SP
2377,são paulo,SP
2410,sao paulo,SP
2443,são paulo,SP
2443,sao paulo,SP
2410,são paulo,SP
2537,sao paulo,SP
2537,são paulo,SP
2712,sao paulo,SP
2710,sao paulo,SP
2722,sao paulo,SP
2724,sao paulo,SP
2738,são paulo,SP
2722,são paulo,SP
2710,são paulo,SP
2724,são paulo,SP
2738,sao paulo,SP
2712,são paulo,SP
2809,sao paulo,SP
2804,sao paulo,SP
2839,sao paulo,SP
2809,são paulo,SP
2807,sao paulo,SP
2804,são paulo,SP
2839,são paulo,SP
2807,são paulo,SP
2957,sao paulo,SP
2936,sao paulo,SP
2936,são paulo,SP
2929,sao paulo,SP
2972,sao paulo,SP
2963,sao paulo,SP
2929,são paulo,SP
2938,sao paulo,SP
2972,são paulo,SP
2938,são paulo,SP
2963,são paulo,SP
2957,são paulo,SP
3080,sao paulo,SP
3029,sao paulo,SP
3059,sao paulo,SP
3087,sao paulo,SP
3080,são paulo,SP
3059,são paulo,SP
3028,são paulo,SP
3017,sao paulo,SP
3017,são paulo,SP
3028,sao paulo,SP
3087,são paulo,SP
3161,sao paulo,SP
3112,sao paulo,SP
3150,sao paulo,SP
3186,sao paulo,SP
3150,são paulo,SP
3126,sao paulo,SP
3161,são paulo,SP
3143,sao paulo,SP
3186,são paulo,SP
3143,são paulo,SP
3126,são paulo,SP
3112,são paulo,SP
3194,são paulo,SP
3275,sao paulo,SP
3279,sao paulo,SP
3211,sao paulo,SP
3275,são paulo,SP
3211,são paulo,SP
3273,sao paulo,SP
3237,são paulo,SP
3204,sao paulo,SP
3209,sao paulo,SP
3237,sao paulo,SP
3273,são paulo,SP
3279,são paulo,SP
3204,são paulo,SP
3209,são paulo,SP
3375,sao paulo,SP
3322,sao paulo,SP
3309,sao paulo,SP
3310,sao paulo,SP
3317,são paulo,SP
3310,são paulo,SP
3309,são paulo,SP
3331,são paulo,SP
3317,sao paulo,SP
3358,sao paulo,SP
3321,são paulo,SP
3321,sao paulo,SP
3306,sao paulo,SP
3358,são paulo,SP
3331,sao paulo,SP
3322,são paulo,SP
3306,são paulo,SP
3375,são paulo,SP
3477,sao paulo,SP
3445,sao paulo,SP
3426,sao paulo,SP
3437,sao paulo,SP
3470,sao paulo,SP
3477,são paulo,SP
3470,são paulo,SP
3461,sao paulo,SP
3431,sao paulo,SP
3461,são paulo,SP
3471,sao paulo,SP
3471,são paulo,SP
3426,são paulo,SP
3445,são paulo,SP
3437,são paulo,SP
3431,são paulo,SP
3564,sao paulo,SP
3581,sao paulo,SP
3573,sao paulo,SP
3504,sao paulo,SP
3567,sao paulo,SP
3542,sao paulo,SP
3512,sao paulo,SP
3514,sao paulo,SP
3542,são paulo,SP
3581,são paulo,SP
3569,sao paulo,SP
3514,são paulo,SP
3573,são paulo,SP
3564,são paulo,SP
3512,são paulo,SP
3504,são paulo,SP
3569,são paulo,SP
3567,são paulo,SP
3685,sao paulo,SP
3685,são paulo,SP
3694,sao paulo,SP
3654,sao paulo,SP
3694,são paulo,SP
3673,sao paulo,SP
3690,sao paulo,SP
3654,são paulo,SP
3614,sao paulo,SP
3690,são paulo,SP
3655,sao paulo,SP
3614,são paulo,SP
3655,são paulo,SP
3673,são paulo,SP
3701,são paulo,SP
3701,sao paulo,SP
3702,sao paulo,SP
3804,sao paulo,SP
3880,sao paulo,SP
3821,são paulo,SP
3872,sao paulo,SP
3821,sao paulo,SP
3818,sao paulo,SP
3809,sao paulo,SP
3813,sao paulo,SP
3813,são paulo,SP
3804,são paulo,SP
3818,são paulo,SP
3872,são paulo,SP
3880,são paulo,SP
3809,são paulo,SP
3982,sao paulo,SP
3916,sao paulo,SP
3972,sao paulo,SP
3910,sao paulo,SP
3933,sao paulo,SP
3908,sao paulo,SP
3933,são paulo,SP
3908,são paulo,SP
3910,são paulo,SP
3972,são paulo,SP
3916,são paulo,SP
3982,são paulo,SP
4037,sao paulo,SP
4041,sao paulo,SP
4001,sao paulo,SP
4007,sao paulo,SP
4009,sao paulo,SP
4078,são paulo,SP
4037,são paulo,SP
4078,sao paulo,SP
4007,são paulo,SP
4041,são paulo,SP
4001,são paulo,SP
4009,são paulo,SP
4119,são paulo,SP
4104,são paulo,SP
4190,sao paulo,SP
4104,sao paulo,SP
4111,sao paulo,SP
4119,sao paulo,SP
4128,sao paulo,SP
4130,sao paulo,SP
4182,sao paulo,SP
4136,sao paulo,SP
4102,sao paulo,SP
4128,são paulo,SP
4117,sao paulo,SP
4160,sao paulo,SP
4173,sao paulo,SP
4133,sao paulo,SP
4117,são paulo,SP
4130,são paulo,SP
4190,são paulo,SP
4182,são paulo,SP
4136,são paulo,SP
4160,são paulo,SP
4133,são paulo,SP
4173,são paulo,SP
4102,são paulo,SP
4111,são paulo,SP
4265,são paulo,SP
4248,sao paulo,SP
4265,sao paulo,SP
4248,são paulo,SP
4306,sao paulo,SP
4305,sao paulo,SP
4327,sao paulo,SP
4361,sao paulo,SP
4342,são paulo,SP
4367,são paulo,SP
4310,sao paulo,SP
4342,sao paulo,SP
4316,são paulo,SP
4367,sao paulo,SP
4316,sao paulo,SP
4378,sao paulo,SP
4310,são paulo,SP
4306,são paulo,SP
4305,são paulo,SP
4327,são paulo,SP
4378,são paulo,SP
4361,são paulo,SP
4474,sao paulo,SP
4434,sao paulo,SP
4403,sao paulo,SP
4434,são paulo,SP
4421,sao paulo,SP
4403,são paulo,SP
4462,sao paulo,SP
4433,sao paulo,SP
4474,são paulo,SP
4461,sao paulo,SP
4421,são paulo,SP
4462,são paulo,SP
4433,são paulo,SP
4461,são paulo,SP
4547,sao paulo,SP
4552,sao paulo,SP
4547,são paulo,SP
4552,são paulo,SP
4679,sao paulo,SP
4662,sao paulo,SP
4662,são paulo,SP
4653,sao paulo,SP
4653,são paulo,SP
4679,são paulo,SP
4763,sao paulo,SP
4776,sao paulo,SP
4763,são paulo,SP
4773,sao paulo,SP
4708,são paulo,SP
4718,sao paulo,SP
4728,sao paulo,SP
4708,sao paulo,SP
4776,são paulo,SP
4775,sao paulo,SP
4710,sao paulo,SP
4782,sao paulo,SP
4718,são paulo,SP
4710,são paulo,SP
4782,são paulo,SP
4728,são paulo,SP
4775,são paulo,SP
4773,são paulo,SP
4728,sa£o paulo,SP
4880,são paulo,SP
4850,são paulo,SP
4870,sao paulo,SP
4809,sao paulo,SP
4826,sao paulo,SP
4810,sao paulo,SP
4829,sao paulo,SP
4826,são paulo,SP
4815,sao paulo,SP
4880,sao paulo,SP
4829,são paulo,SP
4850,sao paulo,SP
4809,são paulo,SP
4815,são paulo,SP
4870,são paulo,SP
4810,são paulo,SP
4963,sao paulo,SP
4963,são paulo,SP
5025,sao paulo,SP
5043,sao paulo,SP
5087,sao paulo,SP
5087,são paulo,SP
5025,são paulo,SP
5058,são paulo,SP
5058,sao paulo,SP
5043,são paulo,SP
5141,sao paulo,SP
5171,sao paulo,SP
5171,são paulo,SP
5138,são paulo,SP
5138,sao paulo,SP
5141,são paulo,SP
5108,sao paulo,SP
5108,são paulo,SP
5267,são paulo,SP
5267,sao paulo,SP
5269,sao paulo,SP
5269,são paulo,SP
5335,sao paulo,SP
5366,sao paulo,SP
5366,são paulo,SP
5335,são paulo,SP
5409,são paulo,SP
5414,são paulo,SP
5409,sao paulo,SP
5424,são paulo,SP
5468,sao paulo,SP
5468,são paulo,SP
5414,sao paulo,SP
5424,sao paulo,SP
5549,sao paulo,SP
5542,sao paulo,SP
5588,sao paulo,SP
5542,são paulo,SP
5590,são paulo,SP
5590,sao paulo,SP
5537,sao paulo,SP
5535,sao paulo,SP
5530,sao paulo,SP
5549,são paulo,SP
5560,sao paulo,SP
5588,são paulo,SP
5530,são paulo,SP
5537,são paulo,SP
5535,são paulo,SP
5560,são paulo,SP
5639,sao paulo,SP
5659,sao paulo,SP
5642,são paulo,SP
5634,sao paulo,SP
5639,são paulo,SP
5642,sao paulo,SP
5659,são paulo,SP
5634,são paulo,SP
5782,sao paulo,SP
5783,sao paulo,SP
5778,sao paulo,SP
5735,sao paulo,SP
5734,sao paulo,SP
5767,sao paulo,SP
5711,sao paulo,SP
5716,sao paulo,SP
5729,sao paulo,SP
5711,são paulo,SP
5713,sao paulo,SP
5727,sao paulo,SP
5713,são paulo,SP
5734,são paulo,SP
5782,são paulo,SP
5729,são paulo,SP
5727,são paulo,SP
5716,são paulo,SP
5767,são paulo,SP
5778,são paulo,SP
5783,são paulo,SP
5735,são paulo,SP
5821,são paulo,SP
5847,sao paulo,SP
5877,sao paulo,SP
5849,sao paulo,SP
5873,são paulo,SP
5841,sao paulo,SP
5821,sao paulo,SP
5877,são paulo,SP
5873,sao paulo,SP
5847,são paulo,SP
5849,são paulo,SP
5841,são paulo,SP
6036,osasco,SP
6083,osasco,SP
6050,osasco,SP
6097,osasco,SP
6080,osasco,SP
6060,osasco,SP
6050,sao paulo,SP
6160,osasco,SP
6122,osasco,SP
6162,osasco,SP
6144,osasco,SP
6180,osasco,SP
6114,osasco,SP
6266,osasco,SP
6253,osasco,SP
6331,carapicuiba,SP
6361,carapicuiba,SP
6341,carapicuiba,SP
6361,carapicuíba,SP
6341,carapicuíba,SP
6331,carapicuíba,SP
6449,barueri,SP
6414,barueri,SP
6460,barueri,SP
6420,barueri,SP
6458,barueri,SP
6429,barueri,SP
6463,barueri,SP
6543,santana de parnaiba,SP
6544,santana de parnaiba,SP
6544,santana de parnaíba,SP
6543,santana de parnaíba,SP
6506,santana de parnaiba,SP
6539,santana de parnaiba,SP
6539,santana de parnaíba,SP
6506,santana de parnaíba,SP
6624,jandira,SP
6636,jandira,SP
6600,jandira,SP
6716,cotia,SP
6730,vargem grande paulista,SP
6700,cotia,SP
6717,cotia,SP
6709,cotia,SP
6790,taboao da serra,SP
6753,taboao da serra,SP
6714,cotia,SP
6753,taboão da serra,SP
6790,taboão da serra,SP
6814,embu das artes,SP
6871,itapecerica da serra,SP
6814,embu,SP
6810,embu das artes,SP
6810,embu,SP
6900,embu-guacu,SP
6900,embu-guaçu,SP
6900,embu guaçu,SP
6900,embu guacu,SP
6900,embuguacu,SP
7084,guarulhos,SP
7082,guarulhos,SP
7023,guarulhos,SP
7031,guarulhos,SP
7091,guarulhos,SP
7032,guarulhos,SP
7070,guarulhos,SP
7094,guarulhos,SP
7060,guarulhos,SP
7077,guarulhos,SP
7056,guarulhos,SP
7133,guarulhos,SP
7142,guarulhos,SP
7112,guarulhos,SP
7113,guarulhos,SP
7170,guarulhos,SP
7135,guarulhos,SP
7180,guarulhos,SP
7190,guarulhos,SP
7194,guarulhos,SP
7120,guarulhos,SP
7270,guarulhos,SP
7716,caieiras,SP
7790,cajamar,SP
7794,cajamar,SP
7790,caieiras,SP
7952,francisco morato,SP
7941,francisco morato,SP
8050,sao paulo,SP
8072,sao paulo,SP
8072,são paulo,SP
8050,são paulo,SP
8160,são paulo,SP
8160,sao paulo,SP
8180,sao paulo,SP
8180,são paulo,SP
8253,sao paulo,SP
8290,sao paulo,SP
8275,sao paulo,SP
8260,sao paulo,SP
8223,sao paulo,SP
8270,sao paulo,SP
8280,sao paulo,SP
8250,sao paulo,SP
8240,sao paulo,SP
8260,são paulo,SP
8270,são paulo,SP
8253,são paulo,SP
8275,são paulo,SP
8240,são paulo,SP
8280,são paulo,SP
8290,são paulo,SP
8250,são paulo,SP
8223,são paulo,SP
8420,sao paulo,SP
8485,sao paulo,SP
8410,são paulo,SP
8410,sao paulo,SP
8420,são paulo,SP
8485,são paulo,SP
8577,itaquaquecetuba,SP
8557,poá,SP
8550,poá,SP
8573,itaquaquecetuba,SP
8543,ferraz de vasconcelos,SP
8542,ferraz de vasconcelos,SP
8503,ferraz de vasconcelos,SP
8562,poa,SP
8562,poá,SP
8557,poa,SP
8527,ferraz de vasconcelos,SP
8550,poa,SP
8543,são paulo,SP
8674,suzano,SP
8673,suzano,SP
8671,suzano,SP
8635,suzano,SP
8710,mogi das cruzes,SP
8730,mogi das cruzes,SP
8730,mogidascruzes,SP
8820,mogi das cruzes,SP
9070,santo andre,SP
9041,santo andre,SP
9050,santo andré,SP
9010,santo andre,SP
9041,santo andré,SP
9010,santo andré,SP
9015,santo andre,SP
9020,santo andre,SP
9040,santo andre,SP
9020,santo andré,SP
9030,santo andré,SP
9030,santo andre,SP
9040,santo andré,SP
9050,santo andre,SP
9070,santo andré,SP
9015,santo andré,SP
9171,santo andre,SP
9185,santo andre,SP
9175,santo andre,SP
9120,santo andre,SP
9185,santo andré,SP
9120,santo andré,SP
9195,santo andre,SP
9175,santo andré,SP
9195,santo andré,SP
9171,santo andré,SP
9163,santo andré,SP
9163,santo andre,SP
9230,santo andre,SP
9220,santo andré,SP
9220,santo andre,SP
9230,santo andré,SP
9350,maua,SP
9351,maua,SP
9360,mauá,SP
9360,maua,SP
9350,mauá,SP
9351,mauá,SP
9450,rio grande da serra,SP
9401,ribeirao pires,SP
9401,ribeirão pires,SP
9531,sao caetano do sul,SP
9541,sao caetano do sul,SP
9572,sao caetano do sul,SP
9571,são caetano do sul,SP
9541,são caetano do sul,SP
9571,sao caetano do sul,SP
9572,são caetano do sul,SP
9531,são caetano do sul,SP
9628,sao bernardo do campo,SP
9710,sao bernardo do campo,SP
9721,sao bernardo do campo,SP
9780,sao bernardo do campo,SP
9715,são bernardo do campo,SP
9710,são bernardo do campo,SP
9715,sao bernardo do campo,SP
9725,sao bernardo do campo,SP
9784,sao bernardo do campo,SP
9760,sao bernardo do campo,SP
9760,são bernardo do campo,SP
9784,são bernardo do campo,SP
9725,são bernardo do campo,SP
9721,são bernardo do campo,SP
9780,são bernardo do campo,SP
9780,são caetano do sul,SP
9780,sbcampo,SP
9811,sao bernardo do campo,SP
9820,sao bernardo do campo,SP
9831,sao bernardo do campo,SP
9852,sao bernardo do campo,SP
9820,são bernardo do campo,SP
9811,são bernardo do campo,SP
9831,são bernardo do campo,SP
9852,são bernardo do campo,SP
9920,diadema,SP
9912,diadema,SP
9951,diadema,SP
9932,diadema,SP
9960,diadema,SP
11085,santos,SP
11020,santos,SP
11030,santos,SP
11089,santos,SP
11025,santos,SP
11075,santos,SP
11040,santos,SP
11060,santos,SP
11010,santos,SP
11250,bertioga,SP
11380,sao vicente,SP
11370,sao vicente,SP
11380,são vicente,SP
11370,são vicente,SP
11432,guaruja,SP
11431,guaruja,SP
11443,guaruja,SP
11425,guaruja,SP
11432,guarujá,SP
11431,guarujá,SP
11425,guarujá,SP
11443,guarujá,SP
11533,cubatao,SP
11500,cubatao,SP
11533,cubatão,SP
11500,cubatão,SP
11680,ubatuba,SP
11660,caraguatatuba,SP
11600,sao sebastiao,SP
11600,são sebastião,SP
11664,caraguatatuba,SP
11703,praia grande,SP
11701,praia grande,SP
11702,praia grande,SP
11704,praia grande,SP
11725,praia grande,SP
11900,registro,SP
11920,iguape,SP
11990,cananéia,SP
11990,cananeia,SP
12243,sao jose dos campos,SP
12230,sao jose dos campos,SP
12248,são josé dos campos,SP
12212,sao jose dos campos,SP
12247,sao jose dos campos,SP
12248,sao jose dos campos,SP
12233,sao jose dos campos,SP
12247,são josé dos campos,SP
12243,são josé dos campos,SP
12233,são josé dos campos,SP
12212,são josé dos campos,SP
12230,são josé dos campos,SP
12328,jacarei,SP
12327,jacarei,SP
12308,jacarei,SP
12308,jacareí,SP
12328,jacareí,SP
12327,jacareí,SP
12412,pindamonhangaba,SP
12490,são bento do sapucaí,SP
12490,sao bento do sapucai,SP
12422,pindamonhangaba,SP
12403,pindamonhangaba,SP
12401,pindamonhangaba,SP
12515,guaratingueta,SP
12515,guaratinguetá,SP
12530,cunha,SP
12518,guaratingueta,SP
12513,guaratingueta,SP
12513,guaratinguetá,SP
12518,guaratinguetá,SP
12630,cachoeira paulista,SP
12721,cruzeiro,SP
12820,areias,SP
12940,atibaia,SP
12955,bom jesus dos perdoes,SP
12950,atibaia,SP
12955,bom jesus dos perdões,SP
12913,braganca paulista,SP
12952,atibaia,SP
12913,bragança paulista,SP
13070,campinas,SP
13045,campinas,SP
13087,campinas,SP
13092,campinas,SP
13044,campinas,SP
13010,campinas,SP
13030,campinas,SP
13088,campinas,SP
13050,campinas,SP
13043,campinas,SP
13080,campinas,SP
13075,campinas,SP
13090,campinas,SP
13076,campinas,SP
13083,campinas,SP
13186,hortolandia,SP
13150,cosmopolis,SP
13142,paulinia,SP
13170,sumare,SP
13170,sumaré,SP
13188,hortolândia,SP
13186,hortolândia,SP
13188,hortolandia,SP
13152,cosmópolis,SP
13142,paulínia,SP
13150,cosmópolis,SP
13152,cosmopolis,SP
13101,campinas,SP
13276,valinhos,SP
13208,jundiai,SP
13290,louveira,SP
13270,valinhos,SP
13219,jundiai,SP
13203,jundiai,SP
13272,valinhos,SP
13206,jundiaí,SP
13213,jundiaí,SP
13208,jundiaí,SP
13225,varzea paulista,SP
13257,itatiba,SP
13232,campo limpo paulista,SP
13206,jundiai,SP
13213,jundiai,SP
13295,itupeva,SP
13203,jundiaí,SP
13224,várzea paulista,SP
13225,várzea paulista,SP
13219,jundiaí,SP
13220,várzea paulista,SP
13226,varzea paulista,SP
13220,varzea paulista,SP
13224,varzea paulista,SP
13360,capivari,SP
13330,indaiatuba,SP
13322,salto,SP
13324,salto,SP
13348,indaiatuba,SP
13344,indaiatuba,SP
13321,salto,SP
13328,salto,SP
13450,santa bárbara d'oeste,SP
13419,piracicaba,SP
13481,limeira,SP
13403,piracicaba,SP
13484,limeira,SP
13405,piracicaba,SP
13450,santa barbara d'oeste,SP
13420,piracicaba,SP
13400,piracicaba,SP
13457,santa bárbara d'oeste,SP
13483,limeira,SP
13408,piracicaba,SP
13458,santa barbara d'oeste,SP
13457,santa barbara d oeste,SP
13450,santa barbara d oeste,SP
13457,santa barbara d'oeste,SP
13421,piracicaba,SP
13450,santa bárbara doeste,SP
13457,santa barbara doeste,SP
13458,santa barbara d oeste,SP
13458,santa bárbara d'oeste,SP
13457,santa bárbara doeste,SP
13500,rio claro,SP
13565,sao carlos,SP
13575,sao carlos,SP
13501,rio claro,SP
13565,são carlos,SP
13575,são carlos,SP
13601,araras,SP
13660,porto ferreira,SP
13615,leme,SP
13690,descalvado,SP
13632,pirassununga,SP
13720,são josé do rio pardo,SP
13720,sao jose do rio pardo,SP
13770,caconde,SP
13715,itobi,SP
13733,mococa,SP
13848,mogi guaçu,SP
13843,mogi guaçu,SP
13800,mogi mirim,SP
13848,mogi-guacu,SP
13835,conchal,SP
13871,sao joao da boa vista,SP
13843,mogi-guacu,SP
13843,mogi guacu,SP
13800,mogi-mirim,SP
13848,mogi guacu,SP
13871,são joão da boa vista,SP
13901,amparo,SP
13920,pedreira,SP
13930,serra negra,SP
14020,ribeirao preto,SP
14050,ribeirao preto,SP
14085,ribeirao preto,SP
14080,ribeirao preto,SP
14090,ribeirao preto,SP
14094,ribeirão preto,SP
14094,ribeirao preto,SP
14091,ribeirao preto,SP
14085,ribeirão preto,SP
14070,ribeirao preto,SP
14020,ribeirão preto,SP
14091,ribeirão preto,SP
14080,ribeirão preto,SP
14092,ribeirao preto,SP
14090,ribeirão preto,SP
14092,ribeirão preto,SP
14050,ribeirão preto,SP
14070,ribeirão preto,SP
14150,serrana,SP
14110,bonfim paulista,SP
14110,ribeirao preto,SP
14110,ribeirão preto,SP
14400,franca,SP
14407,franca,SP
14409,franca,SP
14403,franca,SP
14401,franca,SP
14460,cristais paulista,SP
14407,franca sp,SP
14580,guara,SP
14580,guará,SP
14660,sales oliveira,SP
14740,viradouro,SP
14709,bebedouro,SP
14801,araraquara,SP
14870,jaboticabal,SP
14802,araraquara,SP
14811,araraquara,SP
14808,araraquara,SP
14840,guariba,SP
14850,pradopolis,SP
14850,pradópolis,SP
14940,ibitinga,SP
14900,itapolis,SP
14960,novo horizonte,SP
14900,itápolis,SP
15015,sao jose do rio preto,SP
15025,sao jose do rio preto,SP
15053,sao jose do rio preto,SP
15025,são josé do rio preto,SP
15061,sao jose do rio preto,SP
15061,são josé do rio preto,SP
15055,sao jose do rio preto,SP
15035,sao jose do rio preto,SP
15015,são josé do rio preto,SP
15053,são josé do rio preto,SP
15035,são josé do rio preto,SP
15055,são josé do rio preto,SP
15110,guapiacu,SP
15110,guapiaçu,SP
15390,itapura,SP
15300,general salgado,SP
15410,cajobi,SP
15502,votuporanga,SP
15500,votuporanga,SP
15601,fernandopolis,SP
15601,fernandópolis,SP
15775,santa fe do sul,SP
15704,jales,SP
15775,santa fé do sul,SP
15768,santa salete,SP
15830,pindorama,SP
15811,catanduva,SP
15991,matao,SP
15910,monte alto,SP
15991,matão,SP
16013,aracatuba,SP
16022,aracatuba,SP
16012,araçatuba,SP
16012,aracatuba,SP
16022,araçatuba,SP
16013,araçatuba,SP
16200,birigui,SP
16200,birigüi,SP
16207,birigui,SP
16207,birigüi,SP
16301,penapolis,SP
16304,penapolis,SP
16301,penápolis,SP
16304,penápolis,SP
16400,lins,SP
16403,lins,SP
16402,lins,SP
16500,cafelandia,SP
16500,cafelândia,SP
16700,guararapes,SP
16800,mirandopolis,SP
16800,mirandópolis,SP
16900,andradina,SP
16901,andradina,SP
